subNum	 block	 trialNo	 fixNo	 xFix	 xFixFlipped	 yFix	 fixStartTime	 fixEndTime	 targPresent	 targSide	 easySide	 RT	 accuracy
2	 1	 85	 1	 506	 -6	 374	 1950230	 1950456	 0	 x	 R	 16.436	 1
2	 1	 86	 1	 419	 93	 326	 1968221	 1968455	 1	 left	 L	 1.011	 1
2	 1	 87	 1	 426	 -86	 351	 1970706	 1971017	 1	 right	 R	 1.077	 1
2	 1	 88	 1	 510	 2	 382	 1972720	 1973400	 1	 right	 L	 11.300	 1
2	 1	 89	 1	 510	 -2	 376	 1985564	 1985954	 1	 right	 R	 0.971	 1
2	 1	 90	 1	 519	 7	 382	 1987882	 1988357	 1	 left	 R	 11.440	 0
2	 1	 91	 1	 470	 -42	 362	 2001467	 2001748	 0	 x	 R	 11.466	 1
2	 1	 92	 1	 502	 10	 374	 2013926	 2014368	 1	 left	 L	 0.904	 1
2	 1	 93	 1	 507	 5	 387	 2016294	 2016770	 1	 left	 L	 0.947	 1
2	 1	 94	 1	 511	 1	 380	 2018707	 2019238	 1	 right	 L	 12.009	 0
2	 1	 95	 1	 514	 -2	 378	 2033889	 2034302	 0	 x	 L	 12.662	 1
2	 1	 96	 1	 505	 7	 378	 2048046	 2048580	 1	 right	 L	 5.383	 1
3	 1	 1	 1	 500	 12	 384	 960106	 960654	 1	 right	 L	 15.196	 1
3	 1	 2	 1	 500	 12	 391	 976864	 977354	 0	 x	 L	 9.514	 0
3	 1	 3	 1	 505	 -7	 421	 990462	 990690	 0	 x	 R	 4.305	 0
3	 1	 4	 1	 493	 19	 383	 996610	 997114	 1	 left	 L	 2.874	 1
3	 1	 5	 1	 501	 11	 387	 1000839	 1001367	 0	 x	 L	 27.732	 1
3	 1	 6	 1	 482	 -30	 373	 1030235	 1030774	 1	 right	 R	 2.251	 1
3	 1	 7	 1	 493	 19	 402	 1033837	 1034295	 0	 x	 L	 28.347	 1
3	 1	 8	 1	 491	 21	 388	 1063419	 1063916	 1	 right	 L	 16.408	 1
3	 1	 9	 1	 488	 24	 386	 1083214	 1083763	 1	 right	 L	 12.896	 1
3	 1	 10	 1	 494	 -18	 370	 1099221	 1099773	 1	 left	 R	 17.883	 1
3	 1	 11	 1	 486	 26	 344	 1118384	 1118999	 1	 left	 L	 1.696	 1
3	 1	 12	 1	 479	 -33	 375	 1121426	 1122077	 1	 left	 R	 10.051	 1
3	 1	 13	 1	 485	 -27	 381	 1137053	 1137527	 0	 x	 R	 2.849	 0
3	 1	 14	 1	 474	 38	 381	 1141875	 1142443	 1	 left	 L	 1.744	 1
3	 1	 15	 1	 483	 29	 378	 1146491	 1147013	 1	 left	 L	 1.176	 1
3	 1	 16	 1	 480	 -32	 376	 1149419	 1149940	 0	 x	 R	 12.126	 0
3	 1	 17	 1	 474	 -38	 383	 1163505	 1163997	 1	 left	 R	 10.892	 1
3	 1	 18	 1	 483	 -29	 387	 1176382	 1176934	 0	 x	 R	 18.063	 1
3	 1	 19	 1	 478	 -34	 363	 1196889	 1197392	 0	 x	 R	 11.391	 0
3	 1	 20	 1	 479	 33	 385	 1210464	 1211045	 1	 right	 L	 22.553	 1
3	 1	 21	 1	 479	 33	 385	 1235320	 1235798	 0	 x	 L	 15.247	 0
3	 1	 22	 1	 480	 32	 376	 1252057	 1252550	 0	 x	 L	 25.001	 1
3	 1	 23	 1	 476	 -36	 370	 1278540	 1279154	 0	 x	 R	 11.061	 1
3	 1	 24	 1	 475	 -37	 384	 1291255	 1291862	 0	 x	 R	 11.669	 0
3	 1	 25	 1	 595	 -83	 415	 1305322	 1305728	 0	 x	 L	 20.073	 1
3	 1	 26	 1	 471	 41	 380	 1326888	 1327448	 0	 x	 L	 15.432	 1
3	 1	 27	 1	 472	 -40	 381	 1343962	 1344503	 1	 left	 R	 8.777	 1
3	 1	 28	 1	 478	 -34	 379	 1354502	 1354841	 1	 left	 R	 3.050	 1
3	 1	 29	 1	 475	 -37	 375	 1359228	 1359740	 0	 x	 R	 19.100	 0
3	 1	 30	 1	 475	 37	 382	 1380030	 1380648	 0	 x	 L	 9.376	 1
3	 1	 31	 1	 474	 38	 382	 1391351	 1391855	 1	 left	 L	 2.093	 1
3	 1	 32	 1	 471	 41	 375	 1394737	 1395343	 0	 x	 L	 26.169	 1
3	 1	 33	 1	 480	 32	 378	 1422233	 1422981	 1	 left	 L	 1.415	 1
3	 1	 34	 1	 479	 33	 374	 1425525	 1426049	 0	 x	 L	 8.323	 1
3	 1	 35	 1	 482	 -30	 380	 1436656	 1437228	 1	 right	 R	 1.225	 1
3	 1	 36	 1	 483	 29	 377	 1439339	 1439893	 0	 x	 L	 8.582	 0
3	 1	 37	 1	 480	 32	 381	 1450399	 1450908	 1	 left	 L	 1.214	 1
3	 1	 38	 1	 477	 -35	 376	 1453604	 1454141	 0	 x	 R	 8.145	 1
3	 1	 39	 1	 474	 38	 370	 1463842	 1464321	 0	 x	 L	 11.084	 1
3	 1	 40	 1	 473	 39	 375	 1477033	 1477359	 0	 x	 L	 11.806	 1
3	 1	 41	 1	 479	 33	 377	 1490500	 1491053	 1	 right	 L	 10.192	 0
3	 1	 42	 1	 481	 -31	 390	 1503726	 1504291	 1	 right	 R	 1.137	 1
3	 1	 43	 1	 475	 -37	 390	 1506785	 1507349	 1	 right	 R	 1.054	 1
3	 1	 44	 1	 482	 30	 378	 1509365	 1509825	 1	 left	 L	 1.673	 1
3	 1	 45	 1	 590	 -78	 441	 1512657	 1512828	 0	 x	 L	 18.736	 1
3	 1	 46	 1	 481	 31	 386	 1532915	 1533435	 1	 right	 L	 3.184	 0
3	 1	 47	 1	 475	 -37	 376	 1537770	 1538135	 0	 x	 R	 11.963	 0
3	 1	 48	 1	 500	 -12	 385	 1551491	 1552089	 1	 left	 R	 6.824	 0
3	 1	 49	 1	 484	 28	 380	 1560466	 1561081	 0	 x	 L	 24.834	 1
3	 1	 50	 1	 483	 29	 381	 1586944	 1587576	 1	 right	 L	 8.793	 1
3	 1	 51	 1	 485	 -27	 388	 1597851	 1598338	 1	 left	 R	 17.243	 0
3	 1	 52	 1	 476	 -36	 402	 1616994	 1617546	 1	 right	 R	 1.060	 1
3	 1	 53	 1	 473	 -39	 381	 1620319	 1620844	 0	 x	 R	 19.680	 1
3	 1	 54	 1	 481	 31	 384	 1642868	 1643576	 1	 right	 L	 16.038	 0
3	 1	 55	 1	 470	 -42	 374	 1660655	 1661256	 0	 x	 R	 7.649	 1
3	 1	 56	 1	 483	 -29	 379	 1670789	 1671337	 0	 x	 R	 13.595	 1
3	 1	 57	 1	 496	 16	 380	 1686012	 1686594	 1	 left	 L	 1.073	 1
3	 1	 58	 1	 494	 -18	 376	 1688435	 1688760	 1	 right	 R	 1.261	 1
3	 1	 59	 1	 478	 34	 374	 1690900	 1691398	 0	 x	 L	 15.959	 0
3	 1	 60	 1	 487	 -25	 375	 1709013	 1709678	 0	 x	 R	 3.597	 0
3	 1	 61	 1	 490	 -22	 380	 1714396	 1714913	 1	 right	 R	 0.978	 1
3	 1	 62	 1	 494	 -18	 384	 1717547	 1718006	 0	 x	 R	 9.113	 1
3	 1	 63	 1	 496	 16	 382	 1729106	 1729400	 1	 left	 L	 0.925	 1
3	 1	 64	 1	 483	 -29	 390	 1733402	 1734004	 0	 x	 R	 10.105	 1
3	 1	 65	 1	 567	 55	 423	 1746281	 1746471	 1	 right	 R	 0.985	 1
3	 1	 66	 1	 483	 29	 378	 1748989	 1749455	 0	 x	 L	 10.730	 1
3	 1	 67	 1	 485	 -27	 373	 1763555	 1764186	 0	 x	 R	 13.152	 1
3	 1	 68	 1	 478	 -34	 377	 1779311	 1779965	 1	 left	 R	 25.482	 0
3	 1	 69	 1	 485	 -27	 386	 1806345	 1806872	 0	 x	 R	 19.272	 1
3	 1	 70	 1	 484	 28	 378	 1827326	 1827913	 1	 left	 L	 1.071	 1
3	 1	 71	 1	 489	 23	 392	 1830956	 1831465	 1	 right	 L	 15.318	 0
3	 1	 72	 1	 485	 27	 369	 1848704	 1849295	 0	 x	 L	 20.217	 1
3	 1	 73	 1	 482	 30	 382	 1871444	 1872095	 0	 x	 L	 27.287	 1
3	 1	 74	 1	 477	 35	 385	 1900584	 1901126	 0	 x	 L	 19.291	 1
3	 1	 75	 1	 476	 -36	 374	 1921261	 1921873	 0	 x	 R	 25.129	 1
3	 1	 76	 1	 484	 28	 369	 1947897	 1948520	 0	 x	 L	 10.289	 1
3	 1	 77	 1	 477	 -35	 368	 1960688	 1961131	 0	 x	 R	 20.186	 1
3	 1	 78	 1	 475	 -37	 374	 1982339	 1982917	 1	 left	 R	 16.278	 0
3	 1	 79	 1	 471	 -41	 361	 2000844	 2001413	 1	 right	 R	 1.392	 1
3	 1	 80	 1	 486	 26	 389	 2007288	 2007788	 1	 right	 L	 8.983	 0
3	 1	 81	 1	 479	 -33	 376	 2017695	 2018239	 1	 right	 R	 1.198	 1
3	 1	 82	 1	 487	 -25	 400	 2020541	 2021143	 1	 left	 R	 19.552	 0
3	 1	 83	 1	 470	 -42	 383	 2042420	 2042919	 1	 right	 R	 1.110	 1
3	 1	 84	 1	 481	 -31	 370	 2045201	 2045746	 1	 left	 R	 15.334	 0
3	 1	 85	 1	 467	 45	 365	 2062809	 2063183	 1	 left	 L	 1.092	 1
3	 1	 86	 1	 477	 35	 388	 2067429	 2068006	 0	 x	 L	 31.522	 1
3	 1	 87	 1	 480	 -32	 379	 2100700	 2101252	 0	 x	 R	 24.339	 1
3	 1	 88	 1	 480	 32	 382	 2127881	 2128474	 0	 x	 L	 12.778	 1
3	 1	 89	 1	 487	 -25	 385	 2142598	 2143127	 1	 left	 R	 16.459	 1
3	 1	 90	 1	 462	 50	 376	 2160934	 2161419	 1	 right	 L	 16.578	 0
3	 1	 91	 1	 484	 -28	 378	 2179876	 2180358	 0	 x	 R	 0.529	 0
3	 1	 92	 1	 482	 -30	 381	 2183554	 2184000	 0	 x	 R	 23.959	 1
3	 1	 93	 1	 474	 -38	 383	 2209657	 2210197	 0	 x	 R	 18.683	 1
3	 1	 94	 1	 492	 20	 384	 2230606	 2231055	 0	 x	 L	 26.139	 1
3	 1	 95	 1	 470	 -42	 381	 2258163	 2258686	 1	 right	 R	 1.385	 1
